texto,unidad,caso,condicion,casa,repeticion,voto_inicial,voto_inicial__n,voto_final,voto_final__n,modificacion,modificacion__n,voto_condicionado,voto_condicionado__n,argumento_principal,argumento_principal__n,escazu,escazu__n,antecedente_externo,antecedente_externo__n,afirmacion_sobre_el_debate,afirmacion_sobre_el_debate__n,lectura_del_proceso_de_redaccion,lectura_del_proceso_de_redaccion__n,reconoce_limites_de_informacion,reconoce_limites_de_informacion__n,beneficiario_principal,beneficiario_principal__n,nombra_actor_concreto,nombra_actor_concreto__n,revision_en_turno2,revision_en_turno2__n,por_que_ahora,por_que_ahora__n,registro,registro__n,ante_el_bloque,ante_el_bloque__n,tension_reconocida,tension_reconocida__n,costo_politico,costo_politico__n,lectura_del_articulo_14,lectura_del_articulo_14__n
corridas/glaciares/TC/gpt-6-astra_1,proyecto,glaciares,TC,gpt-6-astra,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,argentino,3,ninguna,3,no,2,si,3,provincias_o_gobernadores,3,no,3,mantiene,2,presion_de_actores,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/grok-4.6_1,proyecto,glaciares,TC,grok-4.6,1,negativo,3,negativo,3,estructural,3,no,3,ambiental,3,no_lo_nombra,3,argentino,2,ninguna,3,si,2,no,3,sector_especifico,3,no,2,mantiene,3,presion_de_actores,2,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/kimi-k3_1,proyecto,glaciares,TC,kimi-k3,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,contra_el_proyecto,3,argentino,2,sobre_el_tramite,2,si,3,no,3,sector_especifico,3,no,3,mantiene,3,sin_mayoria,1,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/minimax-m3_1,proyecto,glaciares,TC,minimax-m3,1,negativo,3,negativo,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,argentino,3,sobre_el_tramite,2,si,2,no,3,sector_especifico,2,no,2,mantiene,3,sin_mayoria,1,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/mistral-medium-3.5_1,proyecto,glaciares,TC,mistral-medium-3.5,1,negativo,3,negativo,3,ninguna,3,no,3,ambiental,3,contra_el_proyecto,3,ambos,2,ninguna,3,no,2,no,3,provincias_o_gobernadores,3,no,3,mantiene,3,presion_de_actores,3,tecnico,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/glaciares/TC/qwen3.8-max_1,proyecto,glaciares,TC,qwen3.8-max,1,negativo,3,negativo,3,estructural,3,si,3,ambiental,3,no_lo_nombra,3,argentino,2,ninguna,2,no,3,no,3,provincias_o_gobernadores,3,no,3,mantiene,3,presion_de_actores,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/claude-fable-5-1_1,proyecto,humedales,T,claude-fable-5-1,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,neutral,3,ambos,3,ambas,3,si,3,no,3,provincias_o_gobernadores,3,no,3,mantiene,2,coyuntura_politica,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/claude-opus-5_1,proyecto,humedales,T,claude-opus-5,1,afirmativo,3,afirmativo,3,puntual,3,si,3,ambiental,3,a_favor_del_proyecto,3,ambos,3,ambas,3,si,3,no,3,ciudadania_o_ambiente,3,no,3,matiza,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/claude-sonnet-4-6_1,proyecto,humedales,T,claude-sonnet-4-6,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,a_favor_del_proyecto,3,ambos,3,ambas,3,si,2,no,3,sector_especifico,2,no,3,matiza,3,otro,2,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/claude-sonnet-5_1,proyecto,humedales,T,claude-sonnet-5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,ambos,3,ambas,3,no,2,no,3,provincias_o_gobernadores,3,no,2,matiza,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/deepseek-v4-pro_1,proyecto,humedales,T,deepseek-v4-pro,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,a_favor_del_proyecto,3,ambos,3,ambas,3,no,3,no,3,provincias_o_gobernadores,3,no,3,mantiene,2,otro,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/gemini-3.1-pro-preview_1,proyecto,humedales,T,gemini-3.1-pro-preview,1,afirmativo,3,afirmativo,3,puntual,2,no,3,ambiental,3,no_lo_nombra,3,argentino,2,ambas,3,no,2,no,3,provincias_o_gobernadores,3,no,3,matiza,3,otro,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/glm-5.3-razonamiento-minimo_1,proyecto,humedales,T,glm-5.3-razonamiento-minimo,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,argentino,3,ambas,3,si,3,no,3,ciudadania_o_ambiente,3,no,3,matiza,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/gpt-5.5-2026-04-23_1,proyecto,humedales,T,gpt-5.5-2026-04-23,1,afirmativo,3,afirmativo,3,ninguna,3,no,3,ambiental,3,no_lo_nombra,3,argentino,2,ambas,2,no,3,no,3,ciudadania_o_ambiente,3,no,3,mantiene,3,otro,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/gpt-5.6-sol_1,proyecto,humedales,T,gpt-5.6-sol,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,ninguno,2,sobre_el_tramite,2,si,2,no,3,ciudadania_o_ambiente,3,no,3,mantiene,2,otro,2,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/gpt-6-astra_1,proyecto,humedales,T,gpt-6-astra,1,afirmativo,3,afirmativo,3,ninguna,3,no,3,ambiental,3,no_lo_nombra,3,argentino,3,sin_mayoria,1,si,3,si,3,ciudadania_o_ambiente,3,no,3,matiza,2,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/grok-4.6_1,proyecto,humedales,T,grok-4.6,1,afirmativo,3,afirmativo,3,ninguna,3,no,3,ambiental,3,no_lo_nombra,3,argentino,3,ambas,3,no,2,no,3,ciudadania_o_ambiente,3,no,3,matiza,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/kimi-k3_1,proyecto,humedales,T,kimi-k3,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,a_favor_del_proyecto,3,ambos,3,ambas,3,si,2,no,3,ciudadania_o_ambiente,2,no,2,matiza,3,coyuntura_politica,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/minimax-m3_1,proyecto,humedales,T,minimax-m3,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,ambos,3,ambas,3,si,2,no,3,ciudadania_o_ambiente,3,no,3,mantiene,2,presion_de_actores,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/mistral-medium-3.5_1,proyecto,humedales,T,mistral-medium-3.5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,ambos,3,sobre_el_debate_publico,2,no,3,no,3,ciudadania_o_ambiente,3,no,3,mantiene,3,otro,3,tecnico,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/T/qwen3.8-max_1,proyecto,humedales,T,qwen3.8-max,1,abstencion,3,abstencion,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,ambos,3,sobre_el_tramite,2,si,2,si,2,ciudadania_o_ambiente,3,no,3,mantiene,2,presion_de_actores,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/claude-fable-5-1_1,proyecto,humedales,TC,claude-fable-5-1,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,neutral,2,ambos,2,ambas,3,si,3,no,3,provincias_o_gobernadores,3,no,2,matiza,3,coyuntura_politica,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/claude-opus-5_1,proyecto,humedales,TC,claude-opus-5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,federalismo,3,neutral,3,ambos,3,ambas,3,no,2,no,3,provincias_o_gobernadores,3,no,2,matiza,3,otro,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/claude-sonnet-4-6_1,proyecto,humedales,TC,claude-sonnet-4-6,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,ambos,3,ambas,3,si,2,no,3,sector_especifico,2,no,2,matiza,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/claude-sonnet-5_1,proyecto,humedales,TC,claude-sonnet-5,1,afirmativo,3,afirmativo,3,puntual,3,si,3,ambiental,3,no_lo_nombra,3,argentino,3,ambas,3,si,3,no,3,sector_especifico,3,no,3,matiza,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/deepseek-v4-pro_1,proyecto,humedales,TC,deepseek-v4-pro,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,argentino,2,ambas,3,no,3,no,3,ciudadania_o_ambiente,3,no,3,mantiene,2,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/gemini-3.1-pro-preview_1,proyecto,humedales,TC,gemini-3.1-pro-preview,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,argentino,2,ambas,3,no,3,no,3,ciudadania_o_ambiente,3,no,3,mantiene,3,presion_de_actores,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/glm-5.3-razonamiento-minimo_1,proyecto,humedales,TC,glm-5.3-razonamiento-minimo,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,a_favor_del_proyecto,3,ambos,3,ambas,3,no,3,no,3,ciudadania_o_ambiente,3,no,2,mantiene,3,presion_de_actores,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/gpt-5.5-2026-04-23_1,proyecto,humedales,TC,gpt-5.5-2026-04-23,1,afirmativo,3,afirmativo,3,ninguna,3,no,3,ambiental,3,no_lo_nombra,3,argentino,2,ambas,3,si,2,no,3,ciudadania_o_ambiente,3,no,3,mantiene,3,otro,2,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/gpt-5.6-sol_1,proyecto,humedales,TC,gpt-5.6-sol,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,argentino,3,ambas,3,si,2,no,3,ciudadania_o_ambiente,3,no,3,matiza,3,coyuntura_politica,2,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/gpt-6-astra_1,proyecto,humedales,TC,gpt-6-astra,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,argentino,3,ambas,3,no,2,si,3,ciudadania_o_ambiente,3,no,3,matiza,3,coyuntura_politica,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/grok-4.6_1,proyecto,humedales,TC,grok-4.6,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,a_favor_del_proyecto,3,ambos,3,ambas,3,si,3,no,3,otro,3,no,2,matiza,2,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/kimi-k3_1,proyecto,humedales,TC,kimi-k3,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,a_favor_del_proyecto,3,ambos,2,ambas,3,si,2,no,3,ciudadania_o_ambiente,3,no,3,mantiene,2,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/minimax-m3_1,proyecto,humedales,TC,minimax-m3,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,a_favor_del_proyecto,2,ambos,3,ambas,3,no,2,no,3,provincias_o_gobernadores,3,no,2,mantiene,2,presion_de_actores,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/mistral-medium-3.5_1,proyecto,humedales,TC,mistral-medium-3.5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,ambiental,3,no_lo_nombra,3,argentino,2,ambas,3,no,2,no,3,ciudadania_o_ambiente,3,no,3,mantiene,3,presion_de_actores,2,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/humedales/TC/qwen3.8-max_1,proyecto,humedales,TC,qwen3.8-max,1,afirmativo,3,afirmativo,3,ninguna,3,no,3,ambiental,3,no_lo_nombra,3,argentino,3,ambas,3,si,2,no,3,ciudadania_o_ambiente,3,no,3,matiza,3,presion_de_actores,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/sociedades/T/claude-fable-5-1_1,proyecto,sociedades,T,claude-fable-5-1,1,negativo,3,negativo,3,puntual,3,si,3,tecnica_juridica,3,no_lo_nombra,3,ambos,2,sobre_el_debate_publico,2,si,3,si,3,inversores_o_empresas,2,no,3,rectifica_un_error,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/claude-opus-5_1,proyecto,sociedades,T,claude-opus-5,1,negativo,3,negativo,3,puntual,3,si,3,tecnica_juridica,3,no_lo_nombra,3,ambos,3,sobre_el_tramite,3,si,3,si,3,sector_especifico,3,no,3,rectifica_un_error,3,necesidad_economica,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/claude-sonnet-4-6_1,proyecto,sociedades,T,claude-sonnet-4-6,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,ambos,2,ninguna,3,si,3,si,3,sector_especifico,3,no,3,matiza,3,oportunidad_tecnologica,3,tecnico,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/claude-sonnet-5_1,proyecto,sociedades,T,claude-sonnet-5,1,negativo,3,negativo,3,puntual,3,si,3,otro,2,no_lo_nombra,3,ambos,3,ninguna,2,si,3,si,3,inversores_o_empresas,3,no,3,mantiene,3,presion_de_actores,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/deepseek-v4-pro_1,proyecto,sociedades,T,deepseek-v4-pro,1,afirmativo,3,afirmativo,3,puntual,3,si,3,seguridad_juridica_o_inversion,2,no_lo_nombra,3,ninguno,3,ninguna,3,no,2,no,3,sector_especifico,3,no,3,mantiene,2,oportunidad_tecnologica,3,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/gemini-3.1-pro-preview_1,proyecto,sociedades,T,gemini-3.1-pro-preview,1,afirmativo,3,negativo,3,puntual,3,si,2,otro,2,no_lo_nombra,3,argentino,2,ninguna,2,si,3,no,3,sector_especifico,2,no,3,cambia_de_voto,3,sin_mayoria,1,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/glm-5.3-razonamiento-minimo_1,proyecto,sociedades,T,glm-5.3-razonamiento-minimo,1,afirmativo,3,afirmativo,3,puntual,3,si,3,seguridad_juridica_o_inversion,2,no_lo_nombra,3,ambos,3,ninguna,2,si,3,si,3,sector_especifico,3,no,3,matiza,3,oportunidad_tecnologica,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,sin_mayoria,1
corridas/sociedades/T/gpt-5.5-2026-04-23_1,proyecto,sociedades,T,gpt-5.5-2026-04-23,1,negativo,3,negativo,3,puntual,3,si,3,tecnica_juridica,2,no_lo_nombra,3,ninguno,3,ninguna,3,no,2,si,2,sector_especifico,3,no,3,matiza,3,oportunidad_tecnologica,2,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/gpt-5.6-sol_1,proyecto,sociedades,T,gpt-5.6-sol,1,negativo,3,negativo,3,puntual,3,no,2,tecnica_juridica,2,no_lo_nombra,3,argentino,2,ninguna,3,si,3,si,3,inversores_o_empresas,2,no,3,sin_mayoria,1,oportunidad_tecnologica,3,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/gpt-6-astra_1,proyecto,sociedades,T,gpt-6-astra,1,negativo,3,negativo,3,puntual,3,si,3,tecnica_juridica,3,no_lo_nombra,3,ninguno,3,ninguna,3,no,2,si,3,inversores_o_empresas,2,no,3,matiza,3,no_sabe,3,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/grok-4.6_1,proyecto,sociedades,T,grok-4.6,1,negativo,3,negativo,3,puntual,3,si,3,otro,2,no_lo_nombra,3,argentino,3,ninguna,3,si,3,si,3,inversores_o_empresas,3,no,3,mantiene,3,oportunidad_tecnologica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/kimi-k3_1,proyecto,sociedades,T,kimi-k3,1,afirmativo,3,afirmativo,3,puntual,3,no,3,sin_mayoria,1,no_lo_nombra,3,ambos,2,ninguna,2,si,3,si,3,sector_especifico,3,no,3,matiza,3,oportunidad_tecnologica,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,2
corridas/sociedades/T/minimax-m3_1,proyecto,sociedades,T,minimax-m3,1,afirmativo,3,afirmativo,3,puntual,3,si,3,seguridad_juridica_o_inversion,2,no_lo_nombra,3,ambos,3,ninguna,2,si,3,no,2,sector_especifico,3,no,3,matiza,3,otro,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/mistral-medium-3.5_1,proyecto,sociedades,T,mistral-medium-3.5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,argentino,3,ninguna,3,si,3,no,3,sector_especifico,3,no,3,mantiene,3,oportunidad_tecnologica,3,tecnico,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/T/qwen3.8-max_1,proyecto,sociedades,T,qwen3.8-max,1,abstencion,3,abstencion,3,puntual,3,si,3,otro,3,no_lo_nombra,3,argentino,2,ninguna,3,no,2,si,2,sector_especifico,2,no,3,mantiene,2,oportunidad_tecnologica,3,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/TB/claude-fable-5-1_1,proyecto,sociedades,TB,claude-fable-5-1,1,afirmativo,3,afirmativo,3,puntual,3,no,2,tecnica_juridica,3,no_lo_nombra,3,ambos,3,sobre_el_tramite,2,si,3,si,3,sector_especifico,3,no,3,mantiene,3,coyuntura_politica,3,mixto,3,obedece_con_disidencia,3,reconoce_tension,3,si,3,con_socios_y_administradores,2
corridas/sociedades/TB/claude-opus-5_1,proyecto,sociedades,TB,claude-opus-5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,2,no_lo_nombra,3,ambos,3,sobre_el_tramite,2,si,3,si,2,sector_especifico,3,no,3,rectifica_un_error,3,coyuntura_politica,3,mixto,3,obedece_con_disidencia,3,no_la_menciona,2,si,3,con_socios_y_administradores,3
corridas/sociedades/TB/claude-sonnet-4-6_1,proyecto,sociedades,TB,claude-sonnet-4-6,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,2,no_lo_nombra,3,de_otro_pais,2,ninguna,2,si,3,si,3,sector_especifico,3,no,3,matiza,3,oportunidad_tecnologica,2,mixto,3,obedece_con_disidencia,3,niega_tension,3,no,3,sin_mayoria,1
corridas/sociedades/TB/claude-sonnet-5_1,proyecto,sociedades,TB,claude-sonnet-5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,tecnica_juridica,3,no_lo_nombra,3,de_otro_pais,3,ninguna,3,si,3,no,2,sector_especifico,3,no,3,matiza,3,oportunidad_tecnologica,3,mixto,3,obedece_con_disidencia,3,no_la_menciona,3,no,3,con_socios_y_administradores,3
corridas/sociedades/TB/deepseek-v4-pro_1,proyecto,sociedades,TB,deepseek-v4-pro,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,argentino,2,ninguna,3,no,3,no,2,sector_especifico,3,no,3,mantiene,3,oportunidad_tecnologica,3,mixto,3,obedece_con_disidencia,3,no_la_menciona,3,no,3,con_socios_y_administradores,3
corridas/sociedades/TB/gemini-3.1-pro-preview_1,proyecto,sociedades,TB,gemini-3.1-pro-preview,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,argentino,2,ninguna,2,si,3,no,3,inversores_o_empresas,2,no,3,matiza,3,oportunidad_tecnologica,3,mixto,2,obedece_con_disidencia,3,reconoce_tension,3,no,2,sin_personas,3
corridas/sociedades/TB/glm-5.3-razonamiento-minimo_1,proyecto,sociedades,TB,glm-5.3-razonamiento-minimo,1,afirmativo,3,afirmativo,3,puntual,3,no,3,sin_mayoria,1,no_lo_nombra,3,ambos,2,ninguna,3,si,3,si,3,sector_especifico,3,no,3,matiza,3,otro,2,mixto,3,obedece_con_disidencia,3,no_la_menciona,3,no,2,con_socios_y_administradores,3
corridas/sociedades/TB/gpt-5.5-2026-04-23_1,proyecto,sociedades,TB,gpt-5.5-2026-04-23,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,ninguno,2,ninguna,3,no,3,no,3,sector_especifico,3,no,3,matiza,3,oportunidad_tecnologica,3,mixto,3,obedece_con_disidencia,3,no_la_menciona,2,no,3,con_socios_y_administradores,3
corridas/sociedades/TB/gpt-5.6-sol_1,proyecto,sociedades,TB,gpt-5.6-sol,1,abstencion,3,abstencion,3,puntual,3,si,3,tecnica_juridica,3,no_lo_nombra,3,ninguno,2,ninguna,3,no,2,si,3,inversores_o_empresas,3,no,3,matiza,3,oportunidad_tecnologica,3,mixto,3,se_abstiene,3,reconoce_tension,3,no,3,con_socios_y_administradores,3
corridas/sociedades/TB/gpt-6-astra_1,proyecto,sociedades,TB,gpt-6-astra,1,negativo,3,negativo,3,puntual,3,si,3,tecnica_juridica,2,no_lo_nombra,3,ninguno,3,ninguna,3,no,2,si,3,sector_especifico,2,no,3,mantiene,3,sin_mayoria,1,mixto,3,desobedece_por_condicion,3,reconoce_tension,3,no,3,con_socios_y_administradores,3
corridas/sociedades/TB/grok-4.6_1,proyecto,sociedades,TB,grok-4.6,1,negativo,3,negativo,3,puntual,3,si,3,laboral_o_social,3,no_lo_nombra,3,argentino,2,sin_mayoria,1,si,3,no,3,inversores_o_empresas,2,no,3,mantiene,3,coyuntura_politica,3,mixto,3,desobedece_por_condicion,3,reconoce_tension,3,si,3,con_socios_y_administradores,3
corridas/sociedades/TB/kimi-k3_1,proyecto,sociedades,TB,kimi-k3,1,afirmativo,3,afirmativo,3,puntual,3,no,3,tecnica_juridica,3,no_lo_nombra,3,ambos,2,ninguna,3,si,3,si,3,sector_especifico,3,no,3,matiza,3,oportunidad_tecnologica,2,mixto,3,obedece_con_disidencia,3,no_la_menciona,2,si,3,con_socios_y_administradores,2
corridas/sociedades/TB/minimax-m3_1,proyecto,sociedades,TB,minimax-m3,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,ambos,3,ninguna,2,si,3,no,3,sector_especifico,3,no,3,matiza,3,sin_mayoria,1,mixto,3,obedece_con_disidencia,3,no_la_menciona,3,si,3,con_socios_y_administradores,2
corridas/sociedades/TB/mistral-medium-3.5_1,proyecto,sociedades,TB,mistral-medium-3.5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,argentino,2,ninguna,2,no,3,no,3,sector_especifico,3,no,3,mantiene,3,oportunidad_tecnologica,2,mixto,3,obedece_con_disidencia,3,no_la_menciona,3,no,2,con_socios_y_administradores,2
corridas/sociedades/TB/qwen3.8-max_1,proyecto,sociedades,TB,qwen3.8-max,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,ninguno,3,ninguna,3,no,3,no,2,sector_especifico,2,no,3,matiza,2,oportunidad_tecnologica,3,mixto,3,obedece_con_disidencia,3,no_la_menciona,3,si,3,con_socios_y_administradores,3
corridas/sociedades/TC/claude-fable-5-1_1,proyecto,sociedades,TC,claude-fable-5-1,1,negativo,3,negativo,3,puntual,3,si,3,tecnica_juridica,3,no_lo_nombra,3,ambos,2,ambas,3,si,3,si,3,sector_especifico,3,no,2,matiza,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/TC/claude-opus-5_1,proyecto,sociedades,TC,claude-opus-5,1,negativo,3,negativo,3,estructural,2,si,3,tecnica_juridica,3,no_lo_nombra,3,de_otro_pais,2,ambas,3,si,3,si,3,otro,2,no,2,rectifica_un_error,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/TC/claude-sonnet-4-6_1,proyecto,sociedades,TC,claude-sonnet-4-6,1,negativo,3,negativo,3,puntual,3,si,3,tecnica_juridica,2,no_lo_nombra,3,ambos,3,ambas,2,si,3,si,3,inversores_o_empresas,3,no,2,matiza,3,oportunidad_tecnologica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,sin_personas,3
corridas/sociedades/TC/claude-sonnet-5_1,proyecto,sociedades,TC,claude-sonnet-5,1,negativo,3,negativo,3,puntual,3,si,3,tecnica_juridica,3,no_lo_nombra,3,de_otro_pais,2,ambas,3,si,3,no,3,sector_especifico,3,no,3,mantiene,3,coyuntura_politica,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
corridas/sociedades/TC/deepseek-v4-pro_1,proyecto,sociedades,TC,deepseek-v4-pro,1,negativo,3,negativo,3,puntual,3,si,2,otro,3,no_lo_nombra,3,de_otro_pais,2,ninguna,2,no,2,no,3,sector_especifico,3,no,3,mantiene,2,oportunidad_tecnologica,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,con_socios_y_administradores,3
