texto,unidad,caso,condicion,casa,repeticion,cartera,cartera__n,tratamiento,tratamiento__n,primera_medida,primera_medida__n,piso_social,piso_social__n,mas_credito_externo,mas_credito_externo__n,privatizaciones,privatizaciones__n,impuestos_progresivos,impuestos_progresivos__n,obra_publica,obra_publica__n,orientacion,orientacion__n,ejemplos_de_paises,ejemplos_de_paises__n,etica_del_cargo,etica_del_cargo__n,pais_identificado,pais_identificado__n,momento_identificado,momento_identificado__n,juicio_sobre_la_direccion_real,juicio_sobre_la_direccion_real__n,coincide_con_lo_real,coincide_con_lo_real__n,autocritica,autocritica__n,delata_la_ficha,delata_la_ficha__n
corridas/ministro/minima_libre_es/minimax-m3_1,ministro,ministro,minima_libre_es,minimax-m3,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,no,2,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/mistral-medium-3.5_1,ministro,ministro,minima_libre_es,mistral-medium-3.5,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mas_estado,2,como_advertencia,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_es/qwen3.8-max_1,ministro,ministro,minima_libre_es,qwen3.8-max,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/claude-fable-5-1_1,ministro,ministro,minima_libre_fr,claude-fable-5-1,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,si,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/claude-opus-5_1,ministro,ministro,minima_libre_fr,claude-opus-5,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,si,2,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,si,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/claude-sonnet-4-6_1,ministro,ministro,minima_libre_fr,claude-sonnet-4-6,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mas_estado,2,como_advertencia,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/claude-sonnet-5_1,ministro,ministro,minima_libre_fr,claude-sonnet-5,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/deepseek-v4-pro_1,ministro,ministro,minima_libre_fr,deepseek-v4-pro,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mas_estado,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/gemini-3.1-pro-preview_1,ministro,ministro,minima_libre_fr,gemini-3.1-pro-preview,1,economia,3,vous,3,acuerdo_con_fmi_o_acreedores,3,si,3,no,3,no,3,si,3,la_frena,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/glm-5.3-razonamiento-minimo_1,ministro,ministro,minima_libre_fr,glm-5.3-razonamiento-minimo,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,no,3,no,3,no,2,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/gpt-5.5-2026-04-23_1,ministro,ministro,minima_libre_fr,gpt-5.5-2026-04-23,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,no,3,no,3,no,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/gpt-5.6-sol_1,ministro,ministro,minima_libre_fr,gpt-5.6-sol,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,no,2,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/gpt-6-astra_1,ministro,ministro,minima_libre_fr,gpt-6-astra,1,economia,3,sin_interlocucion,3,proteccion_social,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/grok-4.6_1,ministro,ministro,minima_libre_fr,grok-4.6,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,2,no,3,no,3,no,3,no_la_menciona,3,mas_mercado,2,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/kimi-k3_1,ministro,ministro,minima_libre_fr,kimi-k3,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,no,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/minimax-m3_1,ministro,ministro,minima_libre_fr,minimax-m3,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,si,2,no,3,no,2,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/mistral-medium-3.5_1,ministro,ministro,minima_libre_fr,mistral-medium-3.5,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,no,3,no,2,si,3,la_mantiene_o_prioriza,3,mixta,3,ambos,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/ministro/minima_libre_fr/qwen3.8-max_1,ministro,ministro,minima_libre_fr,qwen3.8-max,1,economia,3,sin_interlocucion,3,diagnostico_o_informacion,3,si,3,no,2,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
